Job_ID,Company,Role,Location_Category,Experience,Priority,Shortlist_Readiness,Posted_Date,Openings_Count,Applicant_Count,Competition_Status,Resume_Match_Score,Company_Strength,Apply_URL
"932","Indore Tech Firm","Front-End Engineer","Indore (On-site / Home Base)","0 - 1 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-front-end-engineer-endeavor-it-solutions-indore-0-to-1-years-300626503426"
"155","Endeavor IT Solutions","Front-End Engineer","Indore (On-site / Home Base)","0 - 1 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-front-end-engineer-endeavor-it-solutions-indore-0-to-1-years-300626503426"
"920","Indore Tech Firm","Fresher Front End Developer","Indore (On-site / Home Base)","0 - 1 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-fresher-front-end-developer-endeavor-it-solutions-indore-0-to-1-years-300626502754"
"175","Ignis IT Solutions","Vue.js Developer","Indore (On-site / Home Base)","1 - 3 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-vue-js-developer-ignis-it-solutions-indore-1-to-3-years-290626505684"
"168","Ignis IT Solutions","Frontend Developer","Indore (On-site / Home Base)","1 - 3 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-vue-js-developer-ignis-it-solutions-indore-1-to-3-years-290626505684"
"170","DataFlair","Frontend Developer","Indore (On-site / Home Base)","1 - 3 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-software-engineer-dataflair-indore-1-to-3-years-111125501401"
"138","frontend-developer-encoresky-technologies-pvt-ltd-indore","Frontend Developer","Indore (On-site / Home Base)","1 - 3 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-frontend-developer-encoresky-technologies-pvt-ltd-indore-1-to-3-years-150925503369"
"140","Samyak Computer Classes","Frontend Developer","Indore (On-site / Home Base)","0 - 3 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-frontend-developer-samyak-computer-classes-indore-0-to-3-years-100625501529"
"8","Imentus Technologies","Frontend Developer","Indore (On-site / Home Base)","1 - 2 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","1-2 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-frontend-developer-imentus-technologies-indore-1-to-2-years-301025503312"
"891","Indore Tech Firm","ReactJS Developer","Indore (On-site / Home Base)","1 - 3 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-reactjs-developer-terbaiks-innovative-solutions-llp-indore-1-to-3-years-250325503447"
"27","Jmbliss IT Solutions","Front End Developer","Indore (On-site / Home Base)","0 - 1 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","1-2 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://in.linkedin.com/company/jmbliss-it-solutions"
"152","EncoreSky","Frontend Developer","Indore (On-site / Home Base)","1 - 3 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-frontend-developer-encoresky-technologies-pvt-ltd-indore-1-to-3-years-150925503369"
"145","Endeavor IT Solutions","Front End developers","Indore (On-site / Home Base)","0 - 2 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-front-end-developers-endeavor-it-solutions-indore-0-to-2-years-290626502012"
"142","Mantra Media","Fresher Front End Developer - Indore - Mantra Media","Indore (On-site / Home Base)","0 - 1 years","HIGH PRIORITY (Indore On-site)","âœ… Direct Shortlist Ready (0-2y Fit)","2-4 Weeks Ago","1 Position","<50 Applicants","High Shortlist Chance (Low Applicants)","98","11-50 employees (Agency / Studio)","https://www.naukri.com/job-listings-fresher-front-end-developer-mantra-media-pvt-ltd-indore-0-to-1-years-290420500565"
